N,S,E
0.482,0.589,2.22848
0.763,0.629,3.71324
0.313,0.348,3.65686
0.526,0.351,3.21116
0.367,0.161,3.63001
0.642,0.196,2.96818
0.957,0.178,2.84333
0.484,0.253,2.61064
0.551,0.295,3.08363
0.228,0.187,2.60035
0.317,0.256,3.18969
0.327,0.231,3.8985
0.605,0.1,2.77084
0.383,0.13,2.53456
0.526,0.11,2.9015
0.453,0.24,3.72667
0.323,0.16,2.9024
0.49,0.25,2.66881
0.389,0.39,5.07181
