N,S,E
0.206,0.155,2.683
0.232,0.042,6.907
0.365,0.042,7.117
0.379,0.203,4.582
0.401,0.051,7.148
0.405,0.685,3.345
0.445,0.763,3.321
0.46,0.799,4.028
0.477,0.051,6.627
0.563,0.166,3.738
0.637,0.189,4.841
0.732,0.215,3.782
0.752,0.209,4.374
0.777,0.77,3.96
0.798,0.046,5.033
0.993,0.053,4.989
1.067,0.057,5.644
1.147,0.052,5.549
1.41,0.054,4.557
